event_a,event_b,correlation,mean_abs_delta_db
1782605969288_blow_normal_event1_peak2.116s,1782608187004_failed_blow_event1_peak1.100s,0.222297,18.576233
1782605969288_blow_normal_event1_peak2.116s,1782608187004_failed_blow_event2_peak1.558s,0.279307,17.637521
1782605969288_blow_normal_event1_peak2.116s,1782608187004_failed_blow_event3_peak2.068s,-0.094586,22.714078
1782605969288_blow_normal_event1_peak2.116s,1782608187004_failed_blow_event4_peak2.942s,0.145277,19.868922
1782605969288_blow_normal_event1_peak2.116s,1782608191941_failed_blow_event1_peak9.470s,0.875242,17.398138
1782605969288_blow_normal_event1_peak2.116s,1782608203595_failed_blow_event1_peak0.995s,-0.635341,23.540480
1782605969288_blow_normal_event1_peak2.116s,1782608212532_failed_blow_event1_peak0.879s,0.245155,18.540858
1782605969288_blow_normal_event1_peak2.116s,1782608212532_failed_blow_event2_peak2.243s,0.203027,18.343520
1782605969288_blow_normal_event1_peak2.116s,1782608212532_failed_blow_event3_peak3.127s,0.799635,11.840584
1782605969288_blow_normal_event1_peak2.116s,1782608212532_failed_blow_event4_peak3.438s,0.491168,16.013607
1782605969288_blow_normal_event1_peak2.116s,1782608212532_failed_blow_event5_peak4.624s,0.407233,17.887517
1782605969288_blow_normal_event1_peak2.116s,1782608212532_failed_blow_event6_peak5.691s,0.614803,14.142112
1782605969288_blow_normal_event1_peak2.116s,1782608212532_failed_blow_event7_peak7.187s,0.495417,15.508878
1782605969288_blow_normal_event1_peak2.116s,1782608212532_failed_blow_event8_peak8.017s,0.772590,10.857552
1782605969288_blow_normal_event1_peak2.116s,1782608683432_failed_blow_event1_peak0.850s,0.916329,8.611813
1782605969288_blow_normal_event2_peak3.548s,1782605969288_blow_normal_event3_peak4.710s,0.922213,5.897254
1782605969288_blow_normal_event2_peak3.548s,1782605956239_blow_close_event1_peak0.926s,0.900807,8.322849
1782605969288_blow_normal_event2_peak3.548s,1782605956239_blow_close_event2_peak2.629s,0.907484,5.819846
1782605969288_blow_normal_event2_peak3.548s,1782605956239_blow_close_event3_peak4.246s,0.909492,6.179370
1782605969288_blow_normal_event2_peak3.548s,1782605976563_blow_normal_event1_peak0.764s,0.917477,6.395410
1782605969288_blow_normal_event2_peak3.548s,1782605976563_blow_normal_event2_peak1.850s,0.913876,5.740811
1782605969288_blow_normal_event2_peak3.548s,1782605976563_blow_normal_event3_peak3.146s,0.936380,7.386124
1782605969288_blow_normal_event2_peak3.548s,1658418658392_blow_close_event1_peak0.904s,0.903019,6.576635
1782605969288_blow_normal_event2_peak3.548s,1658418658392_blow_close_event2_peak2.202s,0.850505,8.074626
1782605969288_blow_normal_event2_peak3.548s,1658418658392_blow_close_event3_peak3.530s,0.741443,11.035174
1782605969288_blow_normal_event2_peak3.548s,1658418658392_blow_close_event4_peak4.943s,0.874234,8.345467
1782605969288_blow_normal_event2_peak3.548s,1658418658392_blow_close_event5_peak6.390s,0.821222,9.086225
1782605969288_blow_normal_event2_peak3.548s,1782608588636_blow_normal_event1_peak3.313s,0.928921,10.168369
1782605969288_blow_normal_event2_peak3.548s,1782608588636_blow_normal_event2_peak4.431s,0.903952,7.766049
1782605969288_blow_normal_event2_peak3.548s,1782608588636_blow_normal_event3_peak5.546s,0.903903,16.809339
1782605969288_blow_normal_event2_peak3.548s,1782608596442_blow_normal_event1_peak1.342s,0.904186,13.354749
1782605969288_blow_normal_event2_peak3.548s,1782608600090_blow_normal_event1_peak1.465s,0.900999,10.369176
1782605969288_blow_normal_event2_peak3.548s,1782608602965_blow_normal_event1_peak1.012s,0.885263,8.397296
1782605969288_blow_normal_event2_peak3.548s,1782608605517_blow_normal_event1_peak1.450s,0.910708,8.215649
1782605969288_blow_normal_event2_peak3.548s,1782608608865_blow_normal_event1_peak1.042s,0.889875,9.574108
1782605969288_blow_normal_event2_peak3.548s,1782608611657_blow_normal_event1_peak1.081s,0.901131,10.129069
1782605969288_blow_normal_event2_peak3.548s,1782608614338_blow_normal_event1_peak0.897s,0.894140,9.772451
1782605969288_blow_normal_event2_peak3.548s,1782608616573_blow_normal_event1_peak1.126s,0.895199,7.784360
1782605969288_blow_normal_event2_peak3.548s,1782608618931_blow_normal_event1_peak0.969s,0.921100,13.860449
1782605969288_blow_normal_event2_peak3.548s,1782608645573_blow_normal_event1_peak1.074s,0.858506,9.874723
1782605969288_blow_normal_event2_peak3.548s,1782608649116_blow_normal_event1_peak0.873s,0.913367,6.062283
1782605969288_blow_normal_event2_peak3.548s,1782608657180_blow_normal_event1_peak1.144s,0.893370,7.426550
1782605969288_blow_normal_event2_peak3.548s,1782608662652_blow_normal_event1_peak1.139s,0.861951,9.839788
1782605969288_blow_normal_event2_peak3.548s,1782608664944_blow_normal_event1_peak0.935s,0.880622,7.466302
1782605969288_blow_normal_event2_peak3.548s,1782608667017_blow_normal_event1_peak1.003s,0.913924,7.099723
1782605969288_blow_normal_event2_peak3.548s,1782608668892_blow_normal_event1_peak1.012s,0.921734,5.822784
1782605969288_blow_normal_event2_peak3.548s,1782608670794_blow_normal_event1_peak0.934s,0.841894,8.601639
1782605969288_blow_normal_event2_peak3.548s,1782608672740_blow_normal_event1_peak0.992s,0.902130,6.649642
1782605969288_blow_normal_event2_peak3.548s,1782608677735_blow_normal_event1_peak0.843s,0.915981,12.744326
1782605969288_blow_normal_event2_peak3.548s,1782608679544_blow_normal_event1_peak0.746s,0.913761,6.847174
1782605969288_blow_normal_event2_peak3.548s,1782605965032_blow_close_event1_peak0.117s,0.296871,19.932559
1782605969288_blow_normal_event2_peak3.548s,1782605965032_blow_close_event2_peak1.201s,0.927661,5.712266
1782605969288_blow_normal_event2_peak3.548s,1782605965032_blow_close_event3_peak2.431s,0.907610,6.901915
1782605969288_blow_normal_event2_peak3.548s,1782606063167_failed_blow_event1_peak5.756s,0.870351,7.887442
1782605969288_blow_normal_event2_peak3.548s,1658418647612_blow_normal_event1_peak0.402s,0.874000,7.426625
1782605969288_blow_normal_event2_peak3.548s,1658418647612_blow_normal_event2_peak2.207s,0.807293,8.767305
1782605969288_blow_normal_event2_peak3.548s,1658418647612_blow_normal_event3_peak3.536s,0.886573,8.043292
1782605969288_blow_normal_event2_peak3.548s,1658418647612_blow_normal_event4_peak4.765s,0.881384,7.232146
1782605969288_blow_normal_event2_peak3.548s,1658418647612_blow_normal_event5_peak7.402s,0.938206,6.014514
1782605969288_blow_normal_event2_peak3.548s,1782608426130_failed_blow_event1_peak0.018s,0.890371,8.671097
1782605969288_blow_normal_event2_peak3.548s,1782608426130_failed_blow_event2_peak1.056s,0.717430,12.406665
1782605969288_blow_normal_event2_peak3.548s,1782608432269_failed_blow_event1_peak0.799s,0.538360,15.099335
1782605969288_blow_normal_event2_peak3.548s,1782608432269_failed_blow_event2_peak1.919s,0.525907,16.758550
1782605969288_blow_normal_event2_peak3.548s,1782608432269_failed_blow_event3_peak2.872s,0.163539,17.625373
1782605969288_blow_normal_event2_peak3.548s,1782608436951_failed_blow_event1_peak1.043s,0.189521,18.869367
1782605969288_blow_normal_event2_peak3.548s,1782608436951_failed_blow_event2_peak1.703s,-0.129212,19.898718
1782605969288_blow_normal_event2_peak3.548s,1782608436951_failed_blow_event3_peak2.458s,0.932820,8.548445
1782605969288_blow_normal_event2_peak3.548s,1782608436951_failed_blow_event4_peak3.693s,0.459423,16.329836
1782605969288_blow_normal_event2_peak3.548s,1782608441920_failed_blow_event1_peak10.579s,0.648875,24.345795
