source_wav,records\1782605969288_blow-normal\1782605969288_blow-normal.wav
sample_rate_hz,16000
window_size_samples,2048
window_duration_ms,128.0
search_radius_ms,120.0
requested_times_s,2.10000;3.56000;4.75000
peak_times_s,2.11587;3.54844;4.70981

frequency_hz,blow_1_requested_2.10s_peak_2.11587s_dbfs,blow_2_requested_3.56s_peak_3.54844s_dbfs,blow_3_requested_4.75s_peak_4.70981s_dbfs,mean_dbfs
2468.750000,-76.899742,-84.031343,-82.831348,-81.254144
2476.562500,-76.389764,-93.105860,-85.250606,-84.915410
2484.375000,-74.016291,-88.024127,-84.766985,-82.269134
2492.187500,-74.756111,-88.236310,-82.761311,-81.917910
2500.000000,-82.808749,-83.797350,-81.842375,-82.816158
2507.812500,-73.140751,-77.257938,-89.840275,-80.079655
2515.625000,-73.397896,-79.633054,-93.451947,-82.160966
2523.437500,-84.507081,-85.868025,-84.721973,-85.032359
2531.250000,-91.797748,-90.422723,-87.653950,-89.958140
2539.062500,-78.118942,-85.356335,-90.443892,-84.639723
2546.875000,-71.028736,-87.008364,-85.711570,-81.249557
2554.687500,-73.184649,-87.639556,-87.492986,-82.772397
2562.500000,-88.910966,-91.639267,-86.338363,-88.962865
2570.312500,-85.719826,-112.714356,-84.480915,-94.305032
2578.125000,-76.622865,-83.972803,-81.425787,-80.673818
2585.937500,-74.002924,-81.804714,-84.264695,-80.024111
2593.750000,-74.301587,-88.437660,-85.708443,-82.815897
2601.562500,-72.777053,-86.605463,-83.310954,-80.897823
2609.375000,-71.060267,-85.323597,-88.258446,-81.547437
2617.187500,-74.438411,-87.152780,-86.178800,-82.589997
2625.000000,-79.789278,-86.659081,-87.469340,-84.639233
2632.812500,-78.611162,-91.477791,-102.919089,-91.002681
2640.625000,-77.159253,-86.635693,-91.296875,-85.030607
2648.437500,-76.141514,-80.582600,-88.623694,-81.782603
2656.250000,-76.865679,-84.552650,-78.759578,-80.059302
2664.062500,-74.620096,-89.299145,-75.700716,-79.873319
2671.875000,-71.339379,-83.745588,-78.478974,-77.854647
2679.687500,-76.911037,-82.087066,-85.053078,-81.350394
2687.500000,-83.606393,-83.774720,-89.234173,-85.538428
2695.312500,-75.598120,-93.688817,-84.162567,-84.483168
2703.125000,-73.819510,-89.016825,-83.588644,-82.141660
2710.937500,-84.782097,-83.039326,-88.920386,-85.580603
2718.750000,-78.971557,-80.849204,-87.369656,-82.396806
2726.562500,-75.541441,-80.602331,-87.969023,-81.370932
2734.375000,-73.932443,-82.600042,-95.421153,-83.984546
2742.187500,-76.434984,-80.632365,-90.480057,-82.515802
2750.000000,-78.881935,-83.271073,-86.897857,-83.016955
2757.812500,-76.522667,-87.146829,-85.564963,-83.078153
2765.625000,-82.114483,-86.576411,-88.490470,-85.727122
2773.437500,-85.957217,-87.762688,-94.065749,-89.261885
2781.250000,-80.299892,-90.729883,-90.804545,-87.278107
2789.062500,-78.430048,-91.909957,-92.426545,-87.588850
2796.875000,-81.457661,-91.193100,-96.204107,-89.618289
2804.687500,-97.933765,-92.279715,-93.686833,-94.633437
2812.500000,-83.494596,-91.463847,-101.200261,-92.052901
2820.312500,-84.568399,-91.244847,-90.950223,-88.921156
2828.125000,-91.698106,-87.418068,-90.190990,-89.769055
2835.937500,-111.306574,-91.743266,-114.706357,-105.918732
2843.750000,-89.382851,-104.534317,-90.114104,-94.677091
2851.562500,-87.183909,-93.160441,-85.589489,-88.644613
2859.375000,-89.674982,-87.927473,-88.259522,-88.620659
2867.187500,-98.051583,-86.695235,-96.817553,-93.854790
2875.000000,-90.757964,-90.123270,-87.146164,-89.342466
2882.812500,-91.034221,-88.338603,-88.411408,-89.261411
2890.625000,-78.038898,-85.924068,-98.127742,-87.363569
2898.437500,-76.004795,-90.175424,-89.942328,-85.374183
2906.250000,-78.139589,-99.476749,-87.945412,-88.520583
2914.062500,-80.688736,-98.146371,-94.138040,-90.991049
2921.875000,-84.624543,-88.114132,-93.552898,-88.763858
2929.687500,-84.927714,-87.305472,-90.961660,-87.731615
2937.500000,-80.763264,-87.973893,-89.290222,-86.009126
2945.312500,-86.572660,-89.528114,-88.678129,-88.259635
2953.125000,-87.790944,-91.775331,-92.376527,-90.647601
2960.937500,-84.369355,-92.007779,-90.102173,-88.826436
2968.750000,-96.747600,-83.723105,-92.605879,-91.025528
2976.562500,-83.188904,-85.217230,-96.846349,-88.417494
2984.375000,-84.246696,-84.004643,-99.819890,-89.357077
2992.187500,-86.381623,-83.625128,-99.140991,-89.715914
3000.000000,-85.409603,-82.128559,-88.663526,-85.400562
3007.812500,-89.971351,-86.258155,-84.926671,-87.052059
3015.625000,-89.230088,-87.717873,-88.888813,-88.612258
3023.437500,-92.199705,-81.477892,-93.345028,-89.007542
3031.250000,-88.677173,-87.797575,-86.516713,-87.663820
3039.062500,-85.605624,-99.849589,-90.017858,-91.824357
3046.875000,-87.720932,-88.617629,-91.848831,-89.395798
3054.687500,-82.661963,-79.882021,-86.874461,-83.139482
3062.500000,-79.617633,-80.138081,-104.246279,-88.000664
3070.312500,-86.355766,-88.665379,-86.248065,-87.089737
3078.125000,-86.939078,-94.460319,-96.642932,-92.680776
3085.937500,-84.686743,-94.537228,-89.582362,-89.602111
3093.750000,-84.097439,-85.860996,-93.255862,-87.738099
3101.562500,-85.105152,-87.016722,-91.342531,-87.821469
3109.375000,-80.025891,-94.024135,-86.149144,-86.733057
3117.187500,-80.765443,-95.568456,-87.948210,-88.094036
3125.000000,-87.258493,-95.389538,-90.752793,-91.133608
3132.812500,-88.607821,-90.093327,-89.209925,-89.303691
3140.625000,-77.864044,-86.420660,-91.722421,-85.335709
3148.437500,-75.535988,-82.017499,-99.438851,-85.664113
3156.250000,-81.952816,-88.896724,-100.795045,-90.548195
3164.062500,-92.514017,-96.383601,-103.298804,-97.398807
3171.875000,-85.441149,-91.063964,-98.892085,-91.799066
3179.687500,-87.427042,-83.959623,-95.696710,-89.027792
3187.500000,-81.835331,-86.490176,-93.090924,-87.138810
3195.312500,-80.153304,-85.262545,-104.790870,-90.068907
3203.125000,-85.316513,-83.542587,-93.547183,-87.468761
3210.937500,-78.776423,-83.800917,-88.383779,-83.653707
3218.750000,-83.161018,-82.666348,-86.853936,-84.227100
3226.562500,-87.000465,-81.958237,-89.074746,-86.011150
3234.375000,-105.557564,-83.111906,-91.615628,-93.428366
3242.187500,-96.069763,-88.283019,-90.836239,-91.729673
3250.000000,-86.036051,-97.007365,-110.708568,-97.917328
3257.812500,-82.654985,-88.183147,-99.353681,-90.063937
3265.625000,-87.432300,-84.515280,-93.155058,-88.367546
3273.437500,-88.405762,-88.742126,-91.019134,-89.389008
3281.250000,-87.617983,-97.387630,-95.243544,-93.416385
3289.062500,-83.234116,-89.705091,-93.612487,-88.850565
3296.875000,-79.857661,-85.052402,-91.861047,-85.590370
3304.687500,-82.037466,-84.621756,-97.530653,-88.063291
3312.500000,-86.414027,-83.410166,-93.063827,-87.629340
3320.312500,-102.797958,-84.375687,-89.886474,-92.353373
3328.125000,-84.597900,-94.970668,-96.467146,-92.011905
3335.937500,-86.104612,-94.864855,-96.206250,-92.391906
3343.750000,-86.459843,-90.899330,-102.981045,-93.446739
3351.562500,-81.993212,-89.838866,-93.406483,-88.412854
3359.375000,-81.291795,-85.971273,-96.643416,-87.968828
3367.187500,-91.808816,-86.904793,-96.082387,-91.598665
3375.000000,-83.910609,-89.134272,-88.565672,-87.203518
3382.812500,-87.201875,-93.361838,-91.426694,-90.663469
3390.625000,-89.110062,-94.337586,-91.474451,-91.640700
3398.437500,-87.595691,-88.978883,-88.430292,-88.334955
3406.250000,-84.666669,-87.514181,-95.839303,-89.340051
3414.062500,-98.194870,-92.263239,-98.915566,-96.457892
3421.875000,-81.417225,-92.126570,-97.880782,-90.474859
3429.687500,-78.542518,-90.611716,-90.182281,-86.445505
3437.500000,-86.511681,-93.284719,-88.939643,-89.578681
3445.312500,-88.001871,-115.617863,-94.190982,-99.270239
3453.125000,-91.034937,-107.350409,-89.551311,-95.978886
3460.937500,-91.869143,-101.267643,-89.941350,-94.359379
3468.750000,-97.500232,-88.925661,-89.891127,-92.105673
3476.562500,-93.223363,-88.705035,-91.839960,-91.256119
3484.375000,-94.093161,-84.291301,-92.071635,-90.152032
3492.187500,-97.672743,-84.230578,-89.658828,-90.520716
